440,0
246,2
209,6
246,2
246,3
224,1
209,5
209,5
209,5
209,5
209,6
209,6
209,6
209,6
234,11
234,1
209,5
209,5
209,6
209,9
209,6
209,9
445,4
365,16
209,6
209,5
209,6
209,5
209,6
209,5
209,6
209,5
209,6
209,5
224,1
209,6
209,5
209,6
209,5
209,6
209,5
209,6
209,5
209,6
209,5
209,5
209,5
209,5
209,5
234,11
209,6
209,6
209,6
209,6
234,1
209,5
209,5
209,6
209,6
209,9
209,6
209,9
223,7
223,33
255,10
255,5
209,5
224,1
209,5
209,5
209,5
209,5
234,11
209,6
209,6
234,1
209,6
209,6
209,5
209,5
209,6
209,9
209,6
209,9
209,46
209,46
209,46
223,7
223,33
255,10
255,5
223,7
223,33
255,10
255,5
223,7
223,33
255,10
255,5
287,9
211,10
191,2
192,2
223,5
212,2
233,2
261,0
261,14
211,2
179,0
179,1
260,4
228,5
209,5
209,3
246,2
1168,0
457,0
258,2
258,2
220,6
220,700
220,4
220,11
220,9
220,10
220,11
220,8
220,16
220,11
220,11
220,12
220,7
220,5
220,5
220,5
220,7
220,0
220,2
220,4
220,9
220,59
220,45
220,42
220,45
220,44
220,42
220,47
220,7
220,1
220,30
220,10
220,17
220,22
220,16
220,28
220,9
220,20
220,6
220,10
220,27
354,3
220,6
220,23
220,12
220,4
220,12
220,7
220,9
220,8
220,4
220,18
220,4
354,5
220,12
220,0
220,7
220,12
220,60
220,12
220,12
220,4
272,15
220,17
220,26
220,39
220,43
220,11
220,12
220,27
220,26
220,8
220,8
220,5
220,11
261,6
220,9
220,13
220,40
220,14
220,40
220,3
222,1
273,9
220,1
273,17
220,1
223,0
220,0
220,8
220,6
220,99
220,3
220,11
220,7
220,1
220,1
223,0
235,12
220,11
223,0
220,9
193,2
220,26
220,48
220,13
220,20
220,46
220,5
220,6
220,9
202,1
220,34
273,2
220,19
236,4
220,12
220,9
220,10
220,9
220,59
220,12
220,10
220,34
220,13
220,38
220,2
220,6
220,23
220,42
220,63
220,9
220,14
337,6
220,28
337,5
220,34
266,22
220,28
266,55
220,19
266,11
220,34
266,26
220,28
337,11
220,19
233,6
220,34
337,26
220,28
337,5
220,19
337,8
220,3
337,8
220,10
337,6
220,9
337,8
220,1
337,16
220,19
222,8
220,50
337,7
220,10
337,24
220,9
337,7
220,43
222,8
220,16
222,8
220,9
222,8
220,2
337,4
220,5
337,6
220,5
337,11
220,6
337,4
220,10
222,5
220,9
266,22
220,58
266,55
220,16
266,11
220,9
266,26
220,2
293,9
220,5
293,9
220,5
293,7
220,6
244,2
359,6
303,2
359,4
202,1
349,11
350,1
349,5
349,12
383,3
235,7
235,6
349,5
349,11
350,1
349,5
349,12
383,3
235,7
235,6
349,5
236,1
235,7
235,33
269,10
269,5
235,7
235,33
269,10
269,5
235,7
235,33
269,10
269,5
235,7
235,33
269,10
235,7
235,33
269,10
269,5
349,12
383,3
235,7
235,33
269,10
269,5
349,5
236,1
235,7
235,33
269,10
240,11
236,1
235,7
235,33
269,10
269,5
236,1
269,5
220,29
220,25
235,7
235,33
269,10
269,5
235,7
235,33
269,10
269,5
235,7
235,33
269,10
269,5
240,5
269,5
235,7
235,33
269,10
240,11
220,5
220,3
258,2
1200,0
457,2
258,2
220,6
258,2
258,3
240,5
269,5
235,7
235,33
269,10
269,5
236,1
236,1
235,7
235,33
269,10
269,5
235,7
235,33
269,10
236,1
269,5
235,7
235,33
269,10
269,5
235,7
235,33
269,10
269,5
235,7
235,33
269,10
269,5
